#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=RASPISHAKE,http://raspberryshake.net/
AM|R79B8|57.11711712|-2.157510849|80.0|Raspberry Shake Citizen Science Station|2020-05-13T20:56:31|2599-12-31T23:59:59
AM|R7BC1|50.84684685|-1.755283495|27.0|Raspberry Shake Citizen Science Station|2017-08-24T12:36:01|2019-08-20T18:05:41
AM|R7BC1|50.84684685|-1.755306077|27.0|Raspberry Shake Citizen Science Station|2019-08-20T18:05:41|2020-02-18T17:00:19
AM|R7BC1|50.84684685|-1.755306077|27.0|Raspberry Shake Citizen Science Station|2020-03-02T10:01:35|2020-05-29T11:00:56
AM|R7BC1|50.84684685|-1.755302313|27.0|Raspberry Shake Citizen Science Station|2020-05-29T11:00:56|2599-12-31T23:59:59
AM|R7D5E|54.56756757|-3.077182412|232.0|Raspberry Shake Citizen Science Station|2019-07-24T14:33:20|2019-07-26T17:00:08
AM|R7D5E|54.56756757|-3.077182412|232.0|Raspberry Shake Citizen Science Station|2019-07-31T18:22:35|2019-08-03T17:00:10
AM|R7D5E|54.56756757|-3.077182412|232.0|Raspberry Shake Citizen Science Station|2019-08-15T21:28:47|2019-08-25T17:00:09
AM|R7D5E|54.56756757|-3.077182412|232.0|Raspberry Shake Citizen Science Station|2019-08-27T22:01:33|2019-09-01T17:00:11
AM|R7D5E|54.56756757|-3.077182412|232.0|Raspberry Shake Citizen Science Station|2019-09-04T13:08:36|2019-09-07T17:00:14
AM|R7FA5|50.25225225|-5.030897567|36.0|Raspberry Shake Citizen Science Station|2018-12-21T03:45:26|2599-12-31T23:59:59
AM|R8118|52.45945946|-1.93691818|164.0|Raspberry Shake Citizen Science Station|2017-06-03T12:54:28|2599-12-31T23:59:59
AM|R82BD|50.25225225|-5.101283352|91.0|Raspberry Shake Citizen Science Station|2019-07-02T11:41:04|2599-12-31T23:59:59
AM|R87FD|62.18018018|-6.737750225|80.0|Raspberry Shake Citizen Science Station|2017-11-15T16:29:16|2599-12-31T23:59:59
AM|R8C09|51.32432432|1.41302194|26.0|Raspberry Shake Citizen Science Station|2018-08-06T13:25:20|2020-05-01T17:00:34
AM|R8C09|51.32432432|1.41302194|26.0|Raspberry Shake Citizen Science Station|2020-05-03T23:31:57|2020-05-21T17:00:35
AM|R8C09|51.32432432|1.41302194|26.0|Raspberry Shake Citizen Science Station|2020-06-20T00:32:10|2020-06-28T17:00:40
AM|R914C|51.5045045|-0.08685217255|8.0|Raspberry Shake Citizen Science Station|2019-05-22T20:17:36|2019-08-20T17:00:09
AM|R914C|51.5045045|-0.08685217255|8.0|Raspberry Shake Citizen Science Station|2019-11-09T03:53:00|2019-11-09T03:56:07
AM|R92E0|56.94594595|-2.263031702|140.0|Raspberry Shake Citizen Science Station|2019-03-08T12:28:34|2599-12-31T23:59:59
AM|R9362|51.40540541|-2.498822212|45.0|Raspberry Shake Citizen Science Station|2020-06-26T14:12:12|2020-06-26T18:11:39
AM|R9362|51.40540541|-2.498822212|45.0|Raspberry Shake Citizen Science Station|2020-06-26T18:11:39|2020-06-26T18:13:28
AM|R9362|51.40540541|-2.498822212|45.0|Raspberry Shake Citizen Science Station|2020-06-26T18:13:28|2020-06-26T21:40:52
AM|R9362|51.40540541|-2.498822212|45.0|Raspberry Shake Citizen Science Station|2020-06-26T21:40:52|2020-07-11T17:00:35
